Column Name,Meta Data,Minimal,Default,Custom
subgenus,Subgenus,0,1,1
specificEpithet,x,0,1,1
infraspecificEpithet,x,0,1,1
taxonRank,x,0,1,1
verbatimTaxonRank,x,0,0,1
vernacularName,x,0,0,1
nomenclaturalCode,x,0,0,1
taxonomicStatus,x,0,0,1
nomenclaturalStatus,x,0,0,1
taxonRemarks,x,0,0,1
datasetKey,x,0,1,1
publishingCountry,x,0,0,1
lastInterpreted,x,0,0,1
elevation,x,0,0,1
elevationAccuracy,x,0,0,1
depth,x,0,0,1
depthAccuracy,x,0,0,1
distanceAboveSurface,x,0,0,1
distanceAboveSurfaceAccuracy,x,0,0,1
issue,x,0,0,1
mediaType,x,0,0,1
hasCoordinate,x,0,0,1
hasGeospatialIssues,x,0,1,1
taxonKey,Identification key for taxon,1,0,1
kingdomKey,Identification key for kingdom,0,0,1
phylumKey,Identification key for phylum,0,0,1
classKey,Identification key for class,0,0,1
orderKey,Identification key for order,0,0,1
familyKey,Identification key for family,0,0,1
genusKey,Identification key for genus,0,0,1
subgenusKey,Identification key for subgenus,0,0,1
speciesKey,Identification key for species,0,0,1
species,Species Scientific Name,1,1,1
genericName,x,0,1,1
typifiedName,x,0,0,1
protocol,x,0,0,1
lastParsed,x,0,0,1
lastCrawled,x,0,0,1
repatriated,x,0,0,1
