"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Caretta caretta","2017-06-05 14:54:00 -0400","Nest laid overnight 6/4-6/5/17. Body pit clearly visible.","United States",32.320483895,-80.7341779869,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7396182","https://static.inaturalist.org/photos/9602469/medium.jpeg?1502135500","maryspilman",7396182,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017/06/05 2:54 PM EDT","2017-06-05","2017-06-05 18:54:00 UTC","Eastern Time (US & Canada)",NA,"Hilton Head Island, SC, USA","","true","","","false",542724,"2017-08-07 19:53:29 UTC","2017-09-08 03:31:17 UTC","research","CC-BY-NC",NA,"false"
"Caretta caretta","2017-06-18 12:21:00 -0400","Ike, the rescued loggerhead sea turtle at the marine science center.","United States",31.8117780049,-80.8975067537,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7392995","https://static.inaturalist.org/photos/9597388/medium.jpeg?1502121236","maryspilman",7392995,"Loggerhead Sea Turtle","Reptilia",39665,"false",0,0,"2017/06/18 12:21 PM EDT","2017-06-18","2017-06-18 16:21:00 UTC","Eastern Time (US & Canada)",NA,"Tybee Island, GA 31328, USA","","true","","","false",542724,"2017-08-07 15:56:58 UTC","2017-08-07 15:59:23 UTC","casual","CC-BY-NC",NA,"true"
"Caretta caretta","2017-08-07 06:46:18 -0400","","United States",32.008344956,-80.7019486976,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7390559","https://static.inaturalist.org/photos/9593650/medium.jpg?1502103855","stephschuttler",7390559,"Loggerhead Sea Turtle","Reptilia",39665,"false",2,0,"Mon Aug 07 2017 06:46:18 GMT-0400 (EDT)","2017-08-07","2017-08-07 10:46:18 UTC","Eastern Time (US & Canada)",NA,"Atlantic Ocean, Hilton Head Island, SC, US","","true","","","false",486364,"2017-08-07 11:03:55 UTC","2017-09-08 03:31:32 UTC","research","",3,"false"
"Caretta caretta","2015-07-31 20:16:00 -0400","The nest inventory of two separate successful loggerhead nests on the same evening.","United States",32.3628694997,-80.6979621278,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7365566","https://static.inaturalist.org/photos/9551846/medium.jpeg?1501969728","maryspilman",7365566,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2015/07/31 8:16 PM EDT","2015-07-31","2015-08-01 00:16:00 UTC","Eastern Time (US & Canada)",NA,"Hilton Head Island, SC, USA","","true","","","false",542724,"2017-08-05 21:49:22 UTC","2017-09-08 03:31:46 UTC","research","CC-BY-NC",NA,"false"
"Caretta caretta","2017-08-04 19:19:21 -0400","Nest excavation ","United States",33.8906533351,-78.3376722431,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7353590","https://static.inaturalist.org/photos/9532636/medium.jpeg?1501892150","jcs13",7353590,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017-08-04 7:19:21 PM EDT","2017-08-04","2017-08-04 23:19:21 UTC","Eastern Time (US & Canada)",NA,"5701 W Beach Dr, Oak Island, NC 28465, USA","","true","gps","gps","false",411512,"2017-08-05 00:15:36 UTC","2018-01-05 01:30:08 UTC","research","CC-BY-NC",2,"false"
"Caretta caretta","2015-06-28 09:33:00 -0400","Her tracks are a bit obscured by those of the turtle patrol's gator, but the body pit is very evident.","United States",32.3039032245,-80.7212580232,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7345756","https://static.inaturalist.org/photos/9521141/medium.jpeg?1501850893","maryspilman",7345756,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2015/06/28 9:33 AM EDT","2015-06-28","2015-06-28 13:33:00 UTC","Eastern Time (US & Canada)",NA,"Hilton Head Island, SC, USA","","true","","","false",542724,"2017-08-04 12:49:06 UTC","2017-08-05 21:55:18 UTC","research","CC-BY-NC",NA,"false"
"Caretta caretta","2017-08-03 11:49:28 +0200","Found beached at 50 meters from sea","Apulia, IT",40.5428792571,16.8464848753,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7336559","https://static.inaturalist.org/photos/9539261/medium.jpg?1501930377","gianluca",7336559,"Tartaruga caretta","Reptilia",39665,"false",2,0,"2017-08-03 11:49:28 AM CEST","2017-08-03","2017-08-03 09:49:28 UTC","Paris",5,"Taranto, Apulia, IT","","true","","","false",39715,"2017-08-03 20:32:37 UTC","2017-08-10 12:46:36 UTC","research","CC-BY-NC",2,"false"
"Caretta caretta","2017-07-27 18:58:00 -0500","Recién nacida, con 5 escudos laterales ","Quintana Roo, MX",20.2705777698,-87.2804219907,"marino, tortuga","Loggerhead Sea Turtle","http://conabio.inaturalist.org/observations/7309210","https://static.inaturalist.org/photos/9461233/medium.jpeg?1501610845","d99",7309210,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017/07/27 6:58 PM CDT","2017-07-27","2017-07-27 23:58:00 UTC","Central Time (US & Canada)",205,"Unnamed Rd, Quintana Roo, México","","true","","","false",62883,"2017-08-01 18:08:12 UTC","2018-01-13 20:08:20 UTC","research","CC-BY",NA,"false"
"Caretta caretta","2017-07-30 12:05:00 -0700","","",32.6198099879,-117.7876937606,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7286692","https://static.inaturalist.org/photos/9424261/medium.jpg?1501461275","imoss",7286692,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017/07/30 12:05 PM PDT","2017-07-30","2017-07-30 19:05:00 UTC","Pacific Time (US & Canada)",NA,"San Diego pelagic","","true","","","false",18342,"2017-07-31 00:36:31 UTC","2017-08-01 17:53:25 UTC","research","CC-BY-NC",NA,"false"
"Caretta caretta","2017-07-30 15:58:39 -0400","","United States",40.5700901558,-74.1132180816,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7286187","https://static.inaturalist.org/photos/9423722/medium.jpeg?1501459747","wsimmons",7286187,"Loggerhead Sea Turtle","Reptilia",39665,"false",0,0,"2017-07-30 3:58:39 PM EDT","2017-07-30","2017-07-30 19:58:39 UTC","Eastern Time (US & Canada)",1376,"8-14 June Terrace, Middletown, NJ 07748, USA","","true","gps","gps","false",330811,"2017-07-31 00:03:40 UTC","2017-09-10 01:06:10 UTC","needs_id","CC-BY-NC",2,"false"
"Caretta caretta","2017-07-30 08:12:53 -0400","","South Carolina, US",32.4132687598,-80.2048759878,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7275718","https://static.inaturalist.org/photos/9407085/medium.jpeg?1501419338","ryan84",7275718,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017-07-30 8:12:53 AM EDT","2017-07-30","2017-07-30 12:12:53 UTC","Eastern Time (US & Canada)",86,"","","true","gps","gps","false",292007,"2017-07-30 12:55:31 UTC","2017-10-05 14:59:17 UTC","research","CC-BY-NC",2,"false"
"Caretta caretta","2014-07-22 00:00:00 -0300","","United States",24.7632399089,-82.8693290021,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7220012","https://static.inaturalist.org/photos/9318796/medium.jpg?1501091079","birdizlife",7220012,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2014/07/22 12:00 AM -0400","2014-07-22","2014-07-22 03:00:00 UTC","Atlantic Time (Canada)",1139,"Florida, USA","","true","","","false",154438,"2017-07-26 17:49:39 UTC","2017-08-13 14:51:37 UTC","research","CC-BY-NC",NA,"false"
